Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,Phone_Use,Caffeine,Exercise,Stress,GPA,Sleep_Index
10/24/2024 16:51:15,Graduate student,Male,4,4,4,4,3,4,4,3,4,2,3,4,3,3.75
10/24/2024 16:51:51,Third year,Male,4,4,4,4,4,3,3,4,3,3,3,2,4,3.75
10/24/2024 16:52:21,First year,Female,3,4,3,4,4,4,3,4,4,4,4,4,1,3.625
10/24/2024 16:53:00,Third year,Male,4,5,3,2,4,4,2,2,3,3,5,5,5,3.25
10/24/2024 16:53:25,Graduate student,Male,4,4,4,5,5,3,3,3,3,3,4,2,3,3.875
10/24/2024 16:53:53,Second year,Male,4,4,4,5,3,2,3,2,3,4,2,4,1,3.375
10/24/2024 16:54:24,Third year,Male,3,4,4,4,3,4,3,2,2,2,1,1,4,3.375
10/24/2024 16:54:50,Third year,Male,4,5,5,4,5,3,4,3,4,2,2,2,4,4.125
10/24/2024 16:55:18,Third year,Male,4,5,4,3,3,2,2,3,2,2,3,5,3,3.25
10/24/2024 16:56:33,Third year,Male,5,5,5,5,5,5,5,3,4,3,4,4,2,4.75
10/24/2024 16:57:04,Second year,Female,4,4,5,2,4,3,5,4,3,4,3,4,3,3.875
10/24/2024 16:58:21,Third year,Male,4,5,4,4,4,3,5,4,3,5,3,4,3,4.125
10/24/2024 16:58:40,Second year,Male,4,4,4,2,2,3,3,2,1,2,3,2,3,3
10/24/2024 16:59:52,Second year,Female,4,3,3,4,4,3,3,4,3,4,3,4,1,3.5
10/24/2024 17:00:21,Second year,Male,3,5,4,3,5,3,4,3,4,2,2,4,4,3.75
10/24/2024 17:00:26,Graduate student,Male,3,2,3,4,4,4,4,4,4,4,4,4,2,3.5
10/24/2024 17:00:50,First year,Male,4,5,3,3,2,1,3,3,3,2,4,2,4,3
10/24/2024 17:01:57,Third year,Male,4,4,5,3,4,3,4,4,4,4,4,4,1,3.875
10/24/2024 17:02:23,Second year,Male,3,3,4,4,2,3,3,3,3,3,3,4,3,3.125
10/24/2024 17:03:24,Third year,Male,5,5,5,4,2,3,2,3,3,3,3,2,3,3.625
